category,rating,reviews,content_rating,last_updated_on,price_transformed,size_transformed,release_transformed,os_transformed,downloads
Game Educational,4.2,30907,Everyone,2019-02-22,0.0,,2.4.2,2.3 and up,"5,000,000+"
Game,4.0,1417,Teen,2016-12-31,0.0,17M,1.3.1,2.3 and up,"100,000+"
Education,4.53,125,Everyone,2018-12-15,0.0,13M,2.8.1,4.1 and up,"10,000+"
Lifestyle,4.71,985,Everyone,2020-05-06,968.7942,44M,2.7.7.3,4.0.3 and up,"1,000+"
News And Magazines,4.2,27104,Everyone 10+,2019-09-07,0.0,8.2M,2.42.1.9,4.4 and up,"1,000,000+"
Video Players,4.07,6613,Everyone,2020-03-06,0.0,4.6M,2,4.0.3 and up,"1,000,000+"
Tools,4.88,97,Everyone,2013-09-03,185.70420000000001,4.7k,1,2.1 and up,500+
Game Simulation,4.34,362185,Everyone,2020-05-06,0.0,75M,4.14.0,4.2 and up,"10,000,000+"
Social,4.4,214,Teen,2017-11-27,0.0,8.7M,1.0.0.2,2.3 and up,"10,000+"
Education,4.37,3912,Everyone,2019-08-16,0.0,14M,2,4.2 and up,"100,000+"
Books And Reference,4.73,1403,Everyone 10+,2020-05-04,0.0,6.5M,1.3.5,4.0.3 and up,"100,000+"
Game Arcade,3.81,57,Everyone 10+,2016-05-12,0.0,8.2M,1.1,2.3.3 and up,"1,000+"
Game,4.2,152,Teen,2019-08-12,0.0,16M,2.1.2,4.1 and up,"10,000+"
Education,5.0,17,Everyone,2020-04-15,0.0,11M,9.2.14,4.1 and up,500+
Game Role Playing,4.5,8679,Everyone,2020-03-04,0.0,94M,1.1.18,3.0 and up,"100,000+"
Sports,4.11,154,Everyone,2020-01-05,0.0,29M,3.2.8,4.1 and up,"10,000+"
Education,4.34,1559,Everyone,2020-05-07,0.0,9.7M,1.8,4.0 and up,"100,000+"
Game Adventure,4.61,23,Everyone,2019-06-21,222.9942,41M,1.0.1,2.3 and up,"5,000+"
Family,4.3,7168735,Teen,2019-08-20,0.0,,,,"1,000,000,000+"
Education,4.41,389,Everyone,2020-03-18,0.0,9.1M,8.2,4.1 and up,"100,000+"
Lifestyle,4.59,17,Everyone,2019-10-28,0.0,6.6M,1.1.0,4.1 and up,"10,000+"
Shopping,4.62,6229,Everyone,2020-05-06,0.0,12M,2.7.1,4.1 and up,"500,000+"
Education,5.0,13,Everyone,2020-01-04,0.0,8.9M,3.7.5,4.4 and up,500+
Tools,4.61,6039,Everyone,2020-04-24,0.0,1.8M,2.6.5,4.0.3 and up,"500,000+"
Education,2.7,3551,Everyone,2019-09-09,0.0,32M,5.0.0,4.0.3 and up,"100,000+"
Game,4.8,526595,Everyone 10+,2019-07-31,0.0,49M,2.9,4.0.3 and up,"10,000,000+"
Game Puzzle,3.41,32,Everyone,2020-02-29,0.0,20M,1.1.1,4.1 and up,"50,000+"
Business,3.35,20,Everyone,2016-06-02,0.0,3.2M,1,2.2 and up,"1,000+"
Books And Reference,4.4,384368,Everyone,2019-09-08,0.0,,,,"10,000,000+"
Social,4.2,17,Teen,2014-06-29,0.0,5.1M,1.3,2.2 and up,"1,000+"
Family,4.5,736824,Teen,2019-02-23,0.0,20M,3.17.2,4.1 and up,"10,000,000+"
Lifestyle,4.6,39724,Everyone,2019-08-03,0.0,,,,"1,000,000+"
Game,3.7,91,Everyone,2018-01-29,0.0,24M,3.2,2.3 and up,"10,000+"
Game Racing,4.31,154064,Everyone,2019-02-14,0.0,14M,1.0.5,2.1 and up,"10,000,000+"
Finance,4.0,463,Everyone,2019-05-10,0.0,13M,4.2.31,4.2 and up,"10,000+"
Finance,4.04,415,Everyone,2020-03-21,0.0,23M,V1.9,4.4 and up,"100,000+"
Medical,3.62,1323,Everyone,2020-05-05,0.0,12M,4.1.5,4.1 and up,"100,000+"
Auto And Vehicles,4.3,348,Everyone,2019-09-02,0.0,38M,1.0.3,2.3 and up,"100,000+"
Travel And Local,3.31,13,Everyone,2018-09-09,0.0,11M,3.2,4.1 and up,"5,000+"
Lifestyle,4.44,118,Everyone,2020-01-14,0.0,11M,1.4,4.0 and up,"10,000+"
Game Puzzle,4.51,355092,Teen,2020-03-25,0.0,92M,1.4.0,4.1 and up,"10,000,000+"
Game Action,3.94,67,Everyone 10+,2020-03-23,0.0,36M,1,4.1 and up,"10,000+"
Productivity,2.3,3,Everyone,2019-08-20,0.0,16M,1.24.1,4.4 and up,"1,000+"
Game,4.5,592504,Everyone,2019-09-07,0.0,,5.13.007,4.1 and up,"50,000,000+"
Events,1.0,2,Everyone,2020-04-04,0.0,31M,1.1,4.1 and up,100+
Maps And Navigation,4.4,10218,Everyone,2019-09-04,0.0,78M,5.072.1830.2,4.2 and up,"1,000,000+"
Game Racing,4.08,75,Everyone,2018-09-25,0.0,61M,1.0.3,4.0 and up,"5,000+"
Medical,4.22,4433,Everyone,2020-05-01,0.0,15M,2.1.7,4.1 and up,"100,000+"
Game Puzzle,4.63,103,Everyone,2019-09-06,0.0,18M,1.1,4.0.3 and up,"10,000+"
Travel And Local,4.12,126,Everyone,2019-12-14,0.0,21M,2.3,4.1 and up,"10,000+"
House And Home,4.2,27387,Everyone,2019-07-26,0.0,,,,"1,000,000+"
Game Educational,4.46,1694,Everyone,2020-03-15,0.0,65M,2.5.4,4.0 and up,"500,000+"
Sports,4.53,1619,Everyone,2020-05-05,0.0,,,,"100,000+"
Sports,4.65,8794,Everyone,2020-04-15,0.0,7.5M,18.bra,4.4 and up,"100,000+"
Education,4.58,150,Everyone,2019-12-26,0.0,6.9M,0.1.5,4.1 and up,"50,000+"
Tools,4.4,13,Everyone,2016-03-26,0.0,1.5M,4.0,4.0 and up,100+
Social,3.86,6990,Mature 17+,2020-04-04,0.0,12M,Public beta 7,4.1 and up,"500,000+"
Entertainment,3.67,3,Everyone,2018-08-09,0.0,8.8M,1,4.0.3 and up,500+
Tools,4.4,1007,Everyone,2020-05-03,0.0,11M,1.14,4.1 and up,"100,000+"
Tools,4.2,1859109,Everyone,2019-09-04,0.0,,,,"500,000,000+"
Communication,4.4,3128250,Mature 17+,2019-08-31,0.0,,,,"100,000,000+"
Game,4.5,2586261,Everyone,2019-09-04,0.0,,7.7.9,4.2 and up,"100,000,000+"
Game Arcade,4.42,8178,Everyone,2020-02-29,0.0,91M,1.14,4.4 and up,"500,000+"
Education,5.0,1,Everyone,2020-04-01,0.0,5.2M,1.0.2,4.2 and up,10+
Education,3.68,84,Everyone,2020-03-28,0.0,15M,1.0.5,5.0 and up,"10,000+"
Family,4.8,39,Everyone,2018-03-16,0.0,3.6M,1.53,4.0.3 and up,"1,000+"
Medical,3.4,16,Everyone,2019-04-24,0.0,7.8M,1.3.0,4.4 and up,"5,000+"
Entertainment,3.69,1848,Everyone,2020-04-02,0.0,41M,V6.3.0 20190215t085240,5.0 and up,"100,000+"
Education,4.65,20221,Everyone,2020-03-23,0.0,6.0M,3.6,4.0.3 and up,"1,000,000+"
Education,4.68,330872,Everyone,2019-06-06,0.0,3.3M,1.94.9,4.0 and up,"10,000,000+"
Education,4.11,1145,Everyone,2018-10-24,297.5742,93M,1.0.5-play,4.1 and up,"50,000+"
Lifestyle,4.61,518,Everyone,2020-01-09,0.0,8.4M,4.0.0,4.1 and up,"100,000+"
Game Action,3.59,437,Everyone 10+,2019-07-19,0.0,30M,0.26.0,5.0 and up,"100,000+"
Game Puzzle,4.48,10052,Teen,2019-08-27,73.8342,23M,2.1.111374,4.2 and up,"100,000+"
Beauty,4.7,257,Everyone,2018-09-11,0.0,4.6M,1.0,4.0.3 and up,"50,000+"
Tools,3.68,47,Everyone,2019-07-16,0.0,3.3M,1,4.0.3 and up,"10,000+"
Books And Reference,4.41,3629,Everyone,2019-11-12,0.0,3.0M,1.4,2.3 and up,"500,000+"
Game,3.5,3048,Teen,2018-04-10,0.0,24M,1.1,2.3 and up,"500,000+"
Game,4.1,63680,Everyone 10+,2019-07-07,0.0,46M,2.2.2,4.1 and up,"1,000,000+"
Game Casual,4.53,3485,Everyone,2020-04-25,372.1542,,,,"50,000+"
Productivity,4.09,6983,Everyone,2017-09-12,0.0,11M,2.3.3-play,4.1 and up,"100,000+"
Education,4.21,43,Everyone,2020-02-15,0.0,4.0M,1.2,4.0.3 and up,"10,000+"
Social,4.51,1566,Everyone,2020-03-06,0.0,3.4M,2.3,4.0.3 and up,"500,000+"
Lifestyle,3.15,2027,Everyone,2019-10-09,0.0,31M,3.0.1,4.1 and up,"100,000+"
Medical,4.3,62,Everyone,2016-01-19,0.0,20M,2.2,2.3 and up,"5,000+"
Photography,4.49,104,Everyone,2020-01-23,0.0,7.5M,7,4.1 and up,"100,000+"
Game Simulation,4.36,132,Everyone,2020-05-05,0.0,17M,1.5.92,4.0.3 and up,"5,000+"
Game Educational,4.04,7356,Everyone,2020-01-15,0.0,10M,1.3.33,4.0 and up,"1,000,000+"
Communication,3.37,2296,Everyone,2019-10-27,0.0,12M,1.1.1-release.69,5.0 and up,"100,000+"
Health And Fitness,3.0,4,Everyone,2019-10-18,0.0,7.2M,1.2,4.4 and up,500+
Education,4.57,373,Mature 17+,2020-04-28,0.0,2.8M,2.4,4.1 and up,"100,000+"
Lifestyle,4.11,35,Everyone,2020-01-02,0.0,21M,3.9.4,4.2 and up,"5,000+"
Tools,4.43,11955,Everyone,2018-10-26,0.0,,,,"1,000,000+"
Business,4.36,56847,Everyone,2020-04-28,0.0,8.7M,5.12.1,4.4 and up,"1,000,000+"
Comics,3.7,22551,Teen,2019-08-28,0.0,11M,3.16.0,4.4 and up,"1,000,000+"
Productivity,4.3,12008,Everyone,2019-12-17,0.0,4.6M,2.7.1,4.0 and up,"1,000,000+"
Education,4.34,803,Everyone,2018-01-19,0.0,65M,2.1.14,4.0 and up,"50,000+"
Game Puzzle,4.0,1329,Everyone,2019-08-13,0.0,45M,2.6.4,4.1 and up,"100,000+"
Productivity,4.43,387,Everyone,2020-01-09,0.0,11M,1.0.4,4.0.3 and up,"50,000+"
Health And Fitness,4.89,28,Everyone,2020-04-16,0.0,24M,7.2.6,4.0.3 and up,100+
Personalization,4.25,5080,Everyone,2016-07-09,0.0,8.1M,2.0.2,4.1 and up,"1,000,000+"
Maps And Navigation,2.9,181,Everyone,2020-02-11,0.0,26M,1.1.10,4.0.3 and up,"50,000+"
Game Action,4.25,5596,Teen,2020-04-14,0.0,62M,1.5.3,5.0 and up,"1,000,000+"
Game Puzzle,4.24,2775,Teen,2016-03-03,148.4142,11M,1.3,2.3.3 and up,"10,000+"
Game Role Playing,4.46,85361,Teen,2019-05-30,0.0,,,,"1,000,000+"
Tools,2.8,632,Everyone,2018-06-27,0.0,8.2M,1.0,6.0 and up,"500,000+"
Tools,4.6,75582,Everyone,2020-05-01,0.0,7.1M,3.0.1,4.0 and up,"5,000,000+"
Game Adventure,4.6,3890,Everyone,2020-01-29,0.0,,1.2.1,4.1 and up,"100,000+"
Entertainment,4.5,40,Everyone,2020-03-14,0.0,51M,1.4,4.0.3 and up,"10,000+"
Game,4.6,10795,Everyone,2019-01-25,446.7342,69M,1.2.1.1712080,4.0.3 and up,"100,000+"
Travel And Local,4.03,1577,Everyone,2020-04-21,0.0,18M,4.4.3,5.0 and up,"500,000+"
Education,4.53,83,Everyone,2019-11-23,0.0,7.3M,1.2,4.1 and up,"10,000+"
Health And Fitness,4.1,343464,Everyone,2020-04-18,0.0,,,,"10,000,000+"
Game Action,4.5,602014,Teen,2020-04-23,0.0,28M,2.0.3,4.1 and up,"10,000,000+"
Family,4.1,159619,Everyone,2019-08-21,0.0,23M,6.14.091,4.3 and up,"5,000,000+"
Game,4.0,484981,Everyone 10+,2019-07-20,0.0,,3.30.4.83,4.1 and up,"10,000,000+"
Books And Reference,4.41,81,Everyone,2015-11-13,0.0,2.5M,1.1,4.0 and up,"50,000+"
News And Magazines,4.19,13922,Teen,2020-04-15,0.0,,,,"1,000,000+"
Photography,4.2,12726,Everyone,2019-08-25,0.0,15M,4.9.18,4.1 and up,"1,000,000+"
Entertainment,3.69,1251,Teen,2019-12-06,0.0,,,5.0 and up,"500,000+"
Business,4.8,5,Teen,2020-04-28,0.0,48M,:1.38.3+1,5.0 and up,"1,000+"
Tools,4.16,936,Teen,2020-05-02,0.0,12M,1.16.11,4.4 and up,"50,000+"
Photography,4.25,182,Everyone,2019-08-27,0.0,3.2M,1.2,4.0 and up,"100,000+"
Education,4.56,9,Everyone,2018-12-30,0.0,4.4M,1.6,4.0.3 and up,"1,000+"
Medical,4.45,175,Everyone,2020-01-04,0.0,12M,4.6.0,4.4 and up,"1,000+"
Education,4.05,19,Everyone,2016-01-22,0.0,13M,1,2.3 and up,"1,000+"
Game Racing,4.15,2479,Everyone,2018-12-18,0.0,26M,12,4.0 and up,"500,000+"
Libraries And Demo,4.13,85,Everyone,2019-11-22,0.0,18M,1.121,4.4 and up,"10,000+"
Sports,4.25,16,Everyone,2019-03-30,0.0,12M,5.5.4,4.1 and up,"1,000+"
Entertainment,4.47,17,Everyone,2019-12-19,0.0,4.6M,2.2,4.1 and up,"1,000+"
Communication,4.13,10746013,Everyone,2020-05-01,0.0,,,,"1,000,000,000+"
Parenting,4.76,17,Everyone,2020-02-23,0.0,9.4M,1,4.1 and up,"1,000+"
Game Casual,3.78,147,Everyone,2015-04-21,0.0,9.2M,1,2.3 and up,"10,000+"
Game Arcade,4.66,282,Everyone,2020-03-21,73.8342,,500,6.0 and up,"10,000+"
Music And Audio,4.26,46,Teen,2019-12-18,0.0,8.9M,2.1.21,4.1 and up,"5,000+"
Game,4.1,41,Everyone,2015-09-25,0.0,1.4M,2.2,3.0 and up,"5,000+"
Sports,4.6,162933,Everyone,2019-06-15,0.0,100M,25.7,4.1 and up,"5,000,000+"
Sports,3.95,7196,Everyone,2019-08-29,0.0,,,,"500,000+"
Tools,4.01,2816,Everyone,2020-04-03,0.0,21M,2.7.4,4.0.3 and up,"100,000+"
Lifestyle,4.64,19096,Everyone,2016-12-10,0.0,26M,1.7,2.2 and up,"1,000,000+"
Travel And Local,2.67,6,Everyone,2016-03-03,297.5742,4.3M,1.2,4.0.3 and up,100+
Game Arcade,4.57,27095,Everyone,2018-06-08,0.0,55M,1.1,4.0 and up,"1,000,000+"
Education,5.0,51,Everyone,2020-03-16,0.0,42M,1,4.1 and up,"1,000+"
Comics,4.73,1857,Everyone,2020-05-01,0.0,17M,13,4.4 and up,"100,000+"
Shopping,3.71,6930,Everyone,2020-05-01,0.0,16M,2.6.12,4.4 and up,"1,000,000+"
Music And Audio,4.65,60,Everyone,2020-01-26,0.0,79M,1,4.0 and up,"10,000+"
Game Educational,4.76,17613,Everyone,2018-06-13,0.0,34M,113,2.3 and up,"100,000+"
Game Arcade,4.51,1025,Everyone,2020-01-02,0.0,20M,1.1.8,4.0.3 and up,"100,000+"
News And Magazines,4.17,271,Everyone,2019-08-19,0.0,4.6M,3.5,4.1 and up,"50,000+"
Game Action,5.0,39,Everyone,2019-12-21,0.0,17M,0.1,4.1 and up,100+
Game Puzzle,4.68,123785,Everyone,2020-05-02,0.0,27M,1.2.1,4.4 and up,"5,000,000+"
Game Puzzle,4.54,24582,Everyone,2020-03-31,0.0,17M,3.2.3935,4.0.3 and up,"1,000,000+"
Business,3.4,24,Everyone,2019-05-07,0.0,,,,"10,000+"
Events,4.19,16,Everyone,2020-02-05,0.0,52M,1.0.12,5.0 and up,"10,000+"
Game Racing,4.03,110766,Everyone,2018-10-26,0.0,15M,1.8.133,2.3 and up,"5,000,000+"
Family,4.8,13,Everyone,2019-09-06,0.0,6.0M,1.0.4,4.1 and up,100+
Productivity,4.27,200015,Everyone,2020-04-21,0.0,,,,"10,000,000+"
Education,4.51,49,Everyone,2020-05-06,0.0,28M,5.5.3000,6.0 and up,"5,000+"
Education,4.0,2,Everyone,2016-11-10,0.0,59M,1,4.4 and up,100+
Entertainment,4.13,1194,Everyone,2020-03-26,0.0,7.5M,1.5,4.0.3 and up,"100,000+"
Music And Audio,4.71,41,Everyone,2018-07-23,0.0,20M,1,4.0 and up,"10,000+"
Music And Audio,4.55,92,Everyone,2020-04-23,0.0,26M,3,4.1 and up,"100,000+"
Game Educational,4.45,8982,Everyone,2020-05-07,0.0,24M,2,4.0 and up,"1,000,000+"
Books And Reference,4.33,187,Everyone,2019-02-03,0.0,4.0M,1,1.6 and up,"100,000+"
Game,3.9,172281,Everyone,2019-09-05,0.0,50M,5.27.0.729,4.1 and up,"5,000,000+"
Finance,4.25,59,Everyone,2019-11-08,446.7342,2.2M,1.8,4.0 and up,"1,000+"
Family,4.4,475020,Everyone 10+,2019-08-30,0.0,69M,4.7.0.kg,4.1 and up,"5,000,000+"
Tools,3.9,64,Everyone,2018-07-06,0.0,4.1M,1.24,4.4 and up,"5,000+"
Tools,4.17,6,Everyone,2020-01-18,0.0,11M,1.0.5,4.4 and up,"1,000+"
Entertainment,3.99,388,Everyone,2020-05-01,0.0,48M,3.5,4.2 and up,"10,000+"
Family,4.6,227,Everyone,2018-11-16,0.0,11M,2.9.0,4.1 and up,"10,000+"
Game Casual,4.08,164463,Everyone,2019-04-09,0.0,26M,1.6,4.1 and up,"10,000,000+"
Entertainment,4.65,17800,Teen,2020-03-31,0.0,6.8M,1.0.4,4.0.3 and up,"1,000,000+"
Entertainment,4.5,787177,Everyone,2019-07-25,0.0,,,,"10,000,000+"
Auto And Vehicles,3.96,70,Everyone,2019-11-25,0.0,4.1M,3,4.4 and up,"10,000+"
Dating,4.3,1954,Everyone,2020-02-09,0.0,3.4M,3.3,4.0.3 and up,"500,000+"
Photography,3.9,205,Everyone,2018-09-02,0.0,2.4M,1.0.5,4.0 and up,"50,000+"
Game Word,4.1,205738,Everyone,2020-04-18,0.0,100M,3.5,4.4 and up,"10,000,000+"
Tools,4.15,1442,Everyone,2020-02-11,73.8342,24M,1.5.4.0,4.0 and up,"10,000+"
Game Arcade,4.67,6,Everyone,2019-12-04,0.0,14M,1.0.0,4.1 and up,50+
Travel And Local,4.3,11056,Everyone,2020-04-29,0.0,32M,4.10.0,5.0 and up,"1,000,000+"
Game Casual,4.55,217,Everyone,2019-07-31,0.0,27M,1.01,4.0.3 and up,"10,000+"
Family,4.3,2171,Everyone,2016-09-01,0.0,12M,1.1.0,2.2 and up,"100,000+"
Game Strategy,4.5,1706375,Everyone 10+,2020-04-18,0.0,60M,1.0.280,4.0.3 and up,"10,000,000+"
Tools,3.97,242,Everyone,2020-04-17,0.0,10M,1.6.6-free,4.0 and up,"10,000+"
Lifestyle,4.37,438,Mature 17+,2020-03-16,0.0,35M,2.6,4.1 and up,"100,000+"
Finance,4.6,25744,Everyone,2019-09-03,0.0,,,,"500,000+"
Game Casino,4.7,142296,Teen,2020-05-02,0.0,85M,1.61.1,4.1 and up,"1,000,000+"
Education,4.48,1000,Everyone,2019-07-23,0.0,12M,3.2.0,4.1 and up,"100,000+"
Shopping,4.0,6,Everyone,2017-10-19,0.0,20M,1.0,4.1 and up,100+
Sports,4.1,111,Everyone,2020-02-28,0.0,,,,"5,000+"
Lifestyle,4.0,53144,Everyone,2019-08-17,0.0,21M,4.8.0,5.0 and up,"5,000,000+"
Beauty,4.0,2,Everyone,2019-07-03,0.0,3.6M,1.0,4.0 and up,"1,000+"
Shopping,3.75,22334,Everyone,2020-05-01,0.0,12M,6.5.1,4.1 and up,"10,000,000+"
Personalization,4.21,3845,Everyone,2017-07-09,0.0,6.9M,1.7,2.2 and up,"100,000+"
Books And Reference,4.31,133,Everyone,2020-02-24,0.0,6.1M,1.2 (my),4.0 and up,"10,000+"
Game Casino,4.22,140922,Teen,2020-03-05,0.0,16M,34.94,4.0.3 and up,"10,000,000+"
Social,4.4,1849,Mature 17+,2020-04-16,0.0,13M,5.10.1,4.1 and up,"100,000+"
Education,4.51,343,Everyone,2020-03-10,0.0,6.1M,1.5,4.1 and up,"10,000+"
Education,3.62,6684,Everyone,2020-04-17,0.0,7.5M,19.0.3,4.1 and up,"1,000,000+"
Personalization,4.32,182333,Everyone,2019-10-20,0.0,13M,2.0.1.70,2.3 and up,"10,000,000+"
Tools,4.59,523,Everyone,2020-02-18,0.0,16M,14,4.1 and up,"100,000+"
Tools,4.26,33143,Everyone,2020-05-03,0.0,5.7M,3.1.0.1158,4.4 and up,"1,000,000+"
Game Educational,4.55,94,Everyone,2018-02-23,372.1542,96M,1.1,4.0 and up,"10,000+"
Video Players,4.1,24565,Everyone,2017-04-08,0.0,5.5M,2.1,2.3.3 and up,"1,000,000+"
Game Card,4.47,25166,Teen,2020-03-03,0.0,52M,9,4.0.3 and up,"500,000+"
News And Magazines,3.54,260,Everyone 10+,2020-04-04,0.0,71M,5.16.1,5.0 and up,"10,000+"
Game Arcade,4.66,161628,Everyone,2020-04-18,0.0,,,,"5,000,000+"
Books And Reference,4.89,767,Everyone,2020-02-27,0.0,5.3M,1.5,4.4 and up,"100,000+"
Travel And Local,4.36,611,Everyone,2019-10-17,0.0,5.9M,5,4.0 and up,"50,000+"
Medical,4.86,7,Everyone,2020-04-04,0.0,30M,1.8.4,5.0 and up,"1,000+"
Lifestyle,4.49,1186,Everyone,2020-03-21,0.0,27M,3.5.3,4.1 and up,"50,000+"
Health And Fitness,4.42,214,Everyone,2015-01-15,118.5822,34k,1.5,2.2 and up,"10,000+"
Lifestyle,4.46,138562,Everyone,2020-01-23,0.0,10M,2.14.1,4.0.3 and up,"10,000,000+"
Game Simulation,4.24,13430,Everyone 10+,2020-03-27,894.2142,4.8M,2.1.0,4.1 and up,"100,000+"
Game Arcade,4.35,54678,Everyone,2020-04-10,0.0,,6.3,4.1 and up,"10,000,000+"
Shopping,4.46,8074219,Teen,2020-05-07,0.0,,6.13,,"100,000,000+"
Beauty,4.46,2608,Everyone,2020-04-15,0.0,12M,1.4,4.0 and up,"1,000,000+"
Health And Fitness,4.7,15910,Everyone,2020-02-21,0.0,,,,"1,000,000+"
Family,4.0,26202,Teen,2019-06-09,0.0,41M,1.1.700,2.3 and up,"1,000,000+"
Entertainment,4.67,6,Everyone,2019-10-28,0.0,4.8M,1,4.0 and up,"5,000+"
Education,4.84,19,Everyone,2019-12-05,185.70420000000001,2.7M,1.3,4.1 and up,500+
News And Magazines,4.31,204,Everyone,2019-04-13,0.0,6.2M,1.0.4,4.2 and up,"10,000+"
Productivity,4.5,7198,Everyone,2020-04-24,0.0,,5.3.1,4.1 and up,"1,000,000+"
Entertainment,4.47,1295,Everyone,2020-04-16,0.0,2.8M,1.2.4,4.0 and up,"500,000+"
Music And Audio,4.45,22,Everyone,2020-04-16,0.0,14M,1.15,6.0 and up,"1,000+"
Beauty,4.35,814,Mature 17+,2020-02-11,0.0,13M,1.5,4.0.3 and up,"500,000+"
News And Magazines,4.94,142,Everyone,2020-05-06,0.0,7.5M,04.0.2,4.1 and up,"1,000+"
Game Adventure,4.65,306,Everyone,2020-05-04,0.0,,1.1.51,4.1 and up,"10,000+"
Books And Reference,4.3,22401,Everyone,2019-06-11,0.0,4.6M,6.1.2,5.0 and up,"500,000+"
Personalization,4.67,140862,Everyone,2020-05-01,0.0,12M,3.6.40,4.4 and up,"10,000,000+"
Auto And Vehicles,4.17,3668,Everyone,2020-03-20,0.0,45M,1.2,4.1 and up,"1,000,000+"
Entertainment,3.57,739,Everyone,2020-04-09,0.0,26M,5.5,4.3 and up,"50,000+"
Dating,3.65,81240,Mature 17+,2020-04-24,0.0,15M,19.02.02,5.0 and up,"10,000,000+"
Game Music,4.33,369,Everyone,2019-12-22,0.0,14M,4.9.9,4.0.3 and up,"100,000+"
Game Action,4.06,16,Everyone,2019-09-10,0.0,7.4M,1.01,3.0 and up,"1,000+"
Dating,3.5,1972,Mature 17+,2019-06-16,0.0,13M,4.3,4.1 and up,"1,000,000+"
Finance,4.42,2393,Everyone,2020-04-09,0.0,8.8M,2.9,4.2 and up,"50,000+"
Communication,4.27,85,Everyone,2019-12-18,0.0,5.1M,9.5,4.0.3 and up,"1,000+"
Shopping,4.5,6210998,Everyone,2019-09-07,0.0,15M,4.20.5,4.1 and up,"100,000,000+"
Communication,4.2,10,Everyone,2020-05-01,0.0,12M,1.2.3,4.1 and up,"1,000+"
Books And Reference,4.51,997,Everyone,2020-04-23,0.0,2.0M,1.1.2,4.4 and up,"500,000+"
Dating,3.97,31749,Mature 17+,2020-05-06,0.0,,,,"1,000,000+"
Family,4.6,67410,Everyone,2018-12-07,0.0,865k,1.0.9,2.2 and up,"1,000,000+"
Tools,3.6,6060,Everyone,2017-03-10,0.0,592k,2.0,2.1 and up,"500,000+"
Family,3.8,515,Everyone,2019-08-24,0.0,85M,7,4.1 and up,"100,000+"
Game Board,4.37,153130,Everyone,2020-03-17,0.0,8.3M,2.8.2,4.1 and up,"10,000,000+"
Books And Reference,3.0,2,Teen,2020-02-14,0.0,3.6M,1,4.2 and up,100+
Entertainment,4.07,56710,Everyone,2016-11-28,0.0,5.3M,1.0.8,2.3 and up,"5,000,000+"
Lifestyle,4.1,18968,Teen,2019-05-31,0.0,32M,5.1,4.1 and up,"5,000,000+"
Game Puzzle,4.19,24886,Everyone 10+,2016-11-15,0.0,30M,1.2.1,2.3.3 and up,"100,000+"
Finance,4.31,15220,Everyone,2020-04-14,0.0,37M,7.2.1138.mtk8,4.2 and up,"1,000,000+"
Comics,4.04,3990,Everyone,2020-04-10,0.0,59M,1.0.8,4.1 and up,"5,000,000+"
Lifestyle,4.83,1489,Everyone,2020-03-27,0.0,31M,2.1,4.1 and up,"10,000+"
Game Arcade,4.03,311172,Everyone,2020-04-01,0.0,116M,3.4.1,4.1 and up,"10,000,000+"
Auto And Vehicles,2.86,284,Everyone,2020-04-14,0.0,25M,6.5,4.1 and up,"10,000+"
Music And Audio,4.83,6,Everyone,2020-05-01,222.9942,2.8M,1.2.6,5.0 and up,100+
News And Magazines,4.45,11636,Everyone,2019-11-07,0.0,6.8M,1.11.8,4.1 and up,"500,000+"
Shopping,4.15,17797,Everyone,2020-04-23,0.0,22M,4.4.0,5.0 and up,"1,000,000+"
Maps And Navigation,4.01,1080,Everyone,2020-04-29,0.0,9.3M,9.3.1,4.0.3 and up,"100,000+"
Personalization,4.25,8,Everyone,2019-11-21,0.0,18M,1,4.4 and up,100+
Auto And Vehicles,4.26,573,Everyone,2019-11-06,0.0,3.3M,1,4.1 and up,"100,000+"
Game Puzzle,3.95,692,Everyone,2013-08-08,0.0,11M,1.2.1,2.2 and up,"100,000+"
Books And Reference,4.8,1348,Everyone,2020-03-30,0.0,11M,13,4.0 and up,"50,000+"
Lifestyle,4.36,422,Everyone,2019-11-06,0.0,18M,1.0.7,4.0.3 and up,"10,000+"
Family,4.2,636228,Everyone,2019-08-23,0.0,,,,"10,000,000+"
News And Magazines,4.26,2147,Everyone,2019-12-31,0.0,4.5M,2.2.2.3,4.0 and up,"100,000+"
News And Magazines,4.9,58,Everyone,2019-06-30,222.9942,3.8M,1.1.1,5.0 and up,500+
Game Role Playing,4.32,120625,Everyone,2020-05-05,0.0,,2.9,4.1 and up,"10,000,000+"
Game Arcade,4.46,280,Everyone,2019-07-21,0.0,38M,1.4,4.1 and up,"10,000+"
Game Action,4.62,3288909,Everyone,2020-04-28,0.0,,3.3.3.250,4.1 and up,"100,000,000+"
Tools,4.2,6728,Everyone,2016-10-15,0.0,72k,1.1.0,2.2 and up,"1,000,000+"
Lifestyle,4.76,2128,Everyone,2020-04-20,0.0,39M,1.32,4.1 and up,"50,000+"
Music And Audio,4.48,275,Teen,2019-11-30,0.0,50M,1.243,4.1 and up,"10,000+"
Game,4.2,344585,Everyone,2019-08-06,0.0,,,,"50,000,000+"
Health And Fitness,5.0,1,Everyone,2019-12-24,0.0,1.5M,1.0.5,4.0.3 and up,10+
Productivity,3.67,3,Everyone,2017-08-31,0.0,65M,1.2.0,4.0 and up,100+
