category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Health And Fitness,4.8,428156,15M,Free,Everyone,Aug 02 2019,Varies with device,Varies with device,"10,000,000+"
Game Puzzle,4.75,40587,51M,Free,Everyone,May 07 2020,2.8,4.1 and up,"1,000,000+"
Maps And Navigation,4.21,1902,Varies with device,Free,Everyone,Apr 23 2020,Varies with device,Varies with device,"100,000+"
Communication,4.6,8,1.1M,Free,Everyone,Aug 10 2019,1.0.56,2.3.3 and up,"1,000+"
Game Role Playing,4.34,316751,84M,Free,Everyone 10+,May 05 2020,175.477455,4.0.3 and up,"10,000,000+"
Health And Fitness,4.0,87,33M,Free,Everyone,Sep 01 2019,2.5,4.0.3 and up,"10,000+"
Education,4.78,18988,Varies with device,Free,Everyone,May 07 2020,31.1,4.4 and up,"100,000+"
Education,4.14,93,Varies with device,334.8642,Everyone,Mar 17 2020,Varies with device,Varies with device,"5,000+"
Tools,4.65,14824,7.0M,Free,Everyone,May 06 2020,4.7.6,4.1 and up,"500,000+"
News And Magazines,4.5,66978,Varies with device,Free,Teen,Sep 10 2019,Varies with device,Varies with device,"1,000,000+"
Libraries And Demo,4.01,355,44k,745.0542,Everyone,Jan 08 2016,1.1,2.2 and up,"5,000+"
Tools,3.65,5768,11M,Free,Everyone,Apr 21 2020,2.12.5,4.1 and up,"1,000,000+"
Game Puzzle,4.12,268850,Varies with device,Free,Everyone,Apr 23 2020,Varies with device,Varies with device,"10,000,000+"
Sports,4.5,50017,41M,Free,Adults only 18+,Aug 28 2019,3.21.324,4.4 and up,"1,000,000+"
Travel And Local,3.65,52,15M,Free,Everyone,Mar 09 2020,1.24.0018,4.4 and up,"10,000+"
Finance,3.71,18088,Varies with device,Free,Everyone,Jan 17 2020,Varies with device,Varies with device,"1,000,000+"
Education,3.96,6349,Varies with device,Free,Everyone 10+,Apr 24 2020,Varies with device,4.1 and up,"1,000,000+"
Entertainment,5.0,2,40M,Free,Everyone,Dec 19 2018,V1.1.1,4.0 and up,500+
Social,4.4,1200,2.8M,Free,Everyone,Sep 06 2019,0.1.1,4.1 and up,"100,000+"
Video Players,3.05,2251,Varies with device,Free,Everyone,Sep 07 2019,Varies with device,Varies with device,"100,000+"
Game Trivia,4.16,325,7.8M,Free,Everyone,Jun 17 2019,1.1,4.0.3 and up,"10,000+"
Sports,3.1,500,39M,Free,Everyone,Mar 23 2019,10.012,4.1 and up,"50,000+"
Food And Drink,5.0,13,7.1M,Free,Everyone,Dec 21 2019,1.0.156,6.0 and up,100+
Books And Reference,4.1,215,30M,Free,Teen,Apr 10 2019,1.2,4.0 and up,"10,000+"
Personalization,4.66,4079,20M,Free,Everyone,Apr 27 2020,1.02,4.1 and up,"10,000+"
Photography,4.33,159440,42M,Free,Everyone,Feb 06 2019,1.6.0,4.3 and up,"10,000,000+"
Game Simulation,4.37,3745,43M,73.8342,Everyone,Sep 11 2019,2.03,3.0 and up,"500,000+"
Education,4.13,267,24M,Free,Everyone,Dec 28 2019,8,4.0.3 and up,"100,000+"
Education,3.64,11,24M,Free,Everyone,Mar 19 2020,3.0.4,4.1 and up,500+
Education,4.5,32,3.4M,Free,Everyone,Apr 09 2020,8,4.1 and up,"1,000+"
House And Home,4.3,3522,15M,Free,Everyone,Sep 06 2019,3.10.8,4.0 and up,"100,000+"
Game Racing,4.6,27608,58M,Free,Everyone,Mar 31 2020,1.14.22,5.0 and up,"1,000,000+"
Productivity,4.53,137612,10.0M,Free,Everyone,Feb 24 2020,5.4.0,4.1 and up,"10,000,000+"
Photography,4.16,2617,1.6M,Free,Everyone,Oct 06 2018,4,4.0 and up,"100,000+"
Education,4.43,50920,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"1,000,000+"
Game Strategy,4.43,66789,Varies with device,Free,Everyone,Apr 14 2020,Varies with device,4.1 and up,"1,000,000+"
Medical,4.6,87,2.8M,446.7342,Everyone,May 28 2018,8.0.1,4.4 and up,500+
Tools,3.8,5431,1.3M,Free,Everyone,Dec 18 2018,1.5.0,6.0 and up,"10,000,000+"
Medical,4.4,8,6.5M,968.7942,Everyone,Aug 29 2019,7,3.0 and up,100+
Game Casual,4.21,603,67M,Free,Everyone,Nov 26 2019,1.1.8,4.1 and up,"50,000+"
Entertainment,3.42,73,15M,Free,Everyone,May 08 2019,1.0.0,4.2 and up,"50,000+"
Music And Audio,4.78,464,29M,Free,Teen,Mar 15 2020,1.4,4.0.3 and up,"100,000+"
Books And Reference,4.2,8,3.9M,Free,Everyone,Nov 11 2017,1.0,2.3 and up,"5,000+"
News And Magazines,4.44,9,6.7M,Free,Everyone 10+,May 02 2020,1.1.0,5.0 and up,"1,000+"
Medical,4.4,578,704k,73.8342,Everyone,Jan 04 2016,7.0.1,2.2 and up,"10,000+"
Music And Audio,4.62,9318,3.7M,Free,Everyone,Apr 19 2020,1.3.6,4.0.3 and up,"1,000,000+"
Game Word,4.07,15,9.2M,148.4142,Everyone,Apr 14 2020,2,4.0 and up,"1,000+"
Communication,4.4,7,308k,Free,Everyone,Oct 11 2017,1.01,2.0 and up,"5,000+"
Education,4.49,1366,43M,Free,Everyone,Feb 12 2020,3.4.80,4.2 and up,"10,000+"
Medical,4.12,74,14M,894.2142,Everyone,Apr 15 2020,2.0.6,4.4 and up,"1,000+"
Maps And Navigation,4.12,3310,Varies with device,Free,Everyone,May 05 2020,Varies with device,Varies with device,"1,000,000+"
Entertainment,4.46,603,11M,Free,Everyone,Apr 29 2020,1.0.9,4.0 and up,"50,000+"
Finance,4.19,144305,22M,Free,Everyone,Apr 10 2020,7.6.1,4.1 and up,"5,000,000+"
Music And Audio,4.65,1852,4.1M,Free,Teen,Apr 12 2019,4.9.17,4.1 and up,"100,000+"
Medical,3.21,965,5.9M,Free,Everyone,Apr 21 2020,2.5.6,4.2 and up,"100,000+"
Entertainment,4.3,16862,42M,Free,Everyone,Apr 03 2020,1.21,4.4 and up,"5,000,000+"
Medical,4.63,574,4.8M,Free,Everyone,Feb 08 2018,2,4.0.3 and up,"10,000+"
Game Puzzle,4.82,34062,14M,Free,Everyone,Nov 30 2019,2.6.1,4.1 and up,"500,000+"
Productivity,4.2,858230,Varies with device,Free,Everyone,Sep 10 2019,Varies with device,Varies with device,"500,000,000+"
Game Educational,4.25,4,9.4M,Free,Everyone,Jul 23 2019,1,4.1 and up,"1,000+"
Tools,4.59,28207,11M,Free,Everyone,Apr 14 2020,5.0.5,4.1 and up,"1,000,000+"
Health And Fitness,4.15,6640,53M,Free,Everyone,Feb 13 2020,5.2.0,4.1 and up,"500,000+"
Books And Reference,4.56,142,14M,Free,Everyone,Oct 25 2019,7.2.4,4.1 and up,"10,000+"
Business,5.0,4,39M,Free,Everyone,Apr 01 2020,1.23,4.1 and up,100+
Game Simulation,4.58,12499,49M,Free,Everyone,May 05 2020,4.2.1,4.1 and up,"1,000,000+"
Game Racing,4.47,1333713,37M,Free,Everyone,Aug 14 2019,1.7.2o,4.0 and up,"50,000,000+"
Game Strategy,4.52,41955,97M,Free,Teen,Apr 29 2020,2.2.21,7.0 and up,"1,000,000+"
Social,4.36,30893,56M,Free,Teen,May 01 2020,1.6.8,4.2 and up,"1,000,000+"
Lifestyle,3.8,85,5.6M,Free,Teen,Apr 09 2016,1.18.10,4.0.3 and up,"5,000+"
Tools,4.3,77717,14M,Free,Everyone,Feb 02 2018,1.2.0,4.1 and up,"5,000,000+"
Tools,3.82,126,1.8M,Free,Everyone,Mar 14 2016,1.2,2.3.3 and up,"10,000+"
Entertainment,4.61,104,8.0M,Free,Everyone,Apr 25 2020,1.3,4.0.3 and up,"5,000+"
Weather,4.3,21404,7.6M,Free,Everyone,Jul 20 2018,2.2,4.4 and up,"1,000,000+"
Game Card,4.61,18347,78M,Free,Teen,Mar 27 2020,2.3.3,4.1 and up,"500,000+"
Entertainment,4.0,4,28M,Free,Everyone,Jan 07 2019,1.2,4.1 and up,500+
Music And Audio,4.39,6950,12M,Free,Everyone,Aug 23 2019,5.6.0,4.4 and up,"500,000+"
Tools,4.44,99570,2.2M,Free,Everyone,Feb 25 2020,1.3.4,4.0 and up,"5,000,000+"
Productivity,4.2,17415,4.1M,Free,Everyone,Aug 09 2019,3.5.9,4.0 and up,"1,000,000+"
Game Puzzle,3.76,2175,9.2M,Free,Everyone,Mar 03 2020,1.9.2,5.0 and up,"1,000,000+"
Sports,4.39,2195,84M,Free,Everyone,Jan 29 2020,4.4.1,5.0 and up,"100,000+"
Photography,5.0,3,16M,Free,Everyone,Jul 19 2019,1.0.3,4.1 and up,500+
Game Arcade,4.41,151349,25M,Free,Everyone,Apr 21 2020,4.8,4.1 and up,"10,000,000+"
Family,4.7,394842,75M,Free,Everyone,Sep 08 2019,1.50,4.1 and up,"10,000,000+"
Game Casual,5.0,2,47M,Free,Everyone,Apr 16 2020,1,4.1 and up,10+
Tools,4.26,743,30M,Free,Teen,Apr 21 2020,1.5.0,4.4 and up,"50,000+"
Family,4.6,44,45M,Free,Everyone,Feb 13 2019,2.1.9f7,4.0.3 and up,"10,000+"
Lifestyle,4.65,46,8.7M,Free,Teen,Jun 09 2018,0.0.1,4.0 and up,"10,000+"
Finance,3.59,875,66M,Free,Everyone,May 06 2020,2.9.1,5.0 and up,"10,000+"
Game Card,4.46,12563,Varies with device,Free,Everyone,Nov 19 2019,3.0.1,4.1 and up,"1,000,000+"
Tools,4.15,71,4.1M,Free,Everyone,Aug 07 2019,B.4.0.0,4.0.3 and up,"5,000+"
Education,4.46,8095,29M,Free,Teen,Apr 20 2020,Varies with device,Varies with device,"500,000+"
Education,4.67,643,2.8M,Free,Everyone,Feb 01 2020,1.3,4.1 and up,"100,000+"
Tools,4.51,142,11M,Free,Everyone,Mar 20 2020,5.28,4.0 and up,"10,000+"
Music And Audio,4.42,27842,4.5M,Free,Teen,Mar 29 2020,2.2.7,4.1 and up,"1,000,000+"
Medical,4.44,9,25M,Free,Everyone,Jan 11 2020,5.3.0,4.1 and up,"1,000+"
Auto And Vehicles,4.62,6416,3.6M,Free,Everyone,Mar 20 2020,1.4.5,4.1 and up,"100,000+"
Game,4.5,148990,46M,Free,Everyone,Aug 21 2019,1.20.1,4.0.3 and up,"10,000,000+"
Family,4.9,36,9.4M,Free,Teen,Jul 30 2019,3.8.0,4.1 and up,"1,000+"
Communication,4.39,3532906,Varies with device,Free,Mature 17+,Apr 29 2020,Varies with device,Varies with device,"100,000,000+"
Travel And Local,3.94,3328,19M,Free,Everyone,May 06 2020,7.5.1,5.0 and up,"1,000,000+"
Entertainment,4.31,348,8.7M,Free,Everyone,Apr 26 2020,1.1.9,4.4 and up,"50,000+"
Books And Reference,4.9,292,13M,Free,Everyone,Nov 22 2019,1.1,4.1 and up,"10,000+"
Personalization,4.19,3492,3.2M,Free,Everyone,Jan 13 2020,2.0.3,4.2 and up,"100,000+"
Lifestyle,4.58,286,4.6M,Free,Everyone,Mar 21 2020,3.1,4.0.3 and up,"50,000+"
Tools,4.42,8504,722k,Free,Everyone,Apr 28 2020,3.08,1.5 and up,"1,000,000+"
Entertainment,3.99,1890,10M,Free,Everyone,Nov 25 2019,2.5.0,4.0 and up,"500,000+"
Personalization,4.6,66453,14M,Free,Everyone,May 15 2019,1.57,2.3 and up,"5,000,000+"
Game Role Playing,4.39,9067,Varies with device,745.0542,Teen,Mar 14 2018,Varies with device,4.1 and up,"50,000+"
Personalization,5.0,3,7.4M,Free,Mature 17+,Jun 28 2019,1.2,4.0 and up,"1,000+"
Books And Reference,4.8,3105,8.5M,Free,Everyone,Sep 03 2019,3,4.1 and up,"50,000+"
Game Card,4.66,33212,46M,148.4142,Everyone 10+,Mar 28 2020,4.0.1,4.1 and up,"100,000+"
Video Players,3.6,12764,25M,Free,Teen,Aug 15 2019,7.1,4.0 and up,"1,000,000+"
Education,4.4,5,"1,005k",Free,Everyone,Mar 20 2016,1,4.2 and up,100+
Business,3.8,4895,2.8M,Free,Everyone,Jan 02 2020,2.0.0,4.1 and up,"500,000+"
Video Players,3.68,69,37M,Free,Everyone,Feb 14 2020,4.8,4.4 and up,"10,000+"
Books And Reference,5.0,1,2.8M,Free,Everyone,Nov 17 2019,2,4.0.3 and up,500+
Medical,4.5,18,13M,Free,Everyone,Apr 20 2019,2.0,4.0.3 and up,"10,000+"
Education,4.42,674,17M,Free,Everyone,Oct 15 2019,1,3.0 and up,"100,000+"
Game Trivia,4.54,16943,17M,Free,Everyone,Apr 20 2020,2.9.4,4.0.3 and up,"1,000,000+"
Tools,2.32,25,6.1M,Free,Everyone,Apr 23 2020,1.0.050,5.0 and up,"10,000+"
Family,3.8,11250,6.3M,745.0542,Everyone 10+,Jul 17 2019,2.0.4,4.2 and up,"100,000+"
Education,4.09,129,24M,Free,Everyone,Apr 03 2020,3.3.1,4.0 and up,"10,000+"
Entertainment,4.75,1607,28M,Free,Everyone,Mar 05 2020,2.4,4.1 and up,"100,000+"
Weather,4.2,29,3.5M,Free,Everyone,May 28 2019,1.1,4.1 and up,"5,000+"
Books And Reference,4.82,71,3.4M,Free,Mature 17+,Nov 27 2019,1,4.0.3 and up,"10,000+"
Lifestyle,4.1,9,8.7M,Free,Everyone,Aug 22 2019,7.2.2,4.1 and up,"1,000+"
Finance,3.39,33208,25M,Free,Everyone,May 07 2020,1.8.8,4.4 and up,"1,000,000+"
Books And Reference,4.74,571,3.1M,Free,Everyone,Mar 28 2017,1.0.0,4.0 and up,"100,000+"
Health And Fitness,4.33,12,3.9M,Free,Everyone,Sep 23 2019,1,4.0 and up,"1,000+"
Entertainment,4.74,1077,95M,Free,Everyone,Feb 23 2020,2,4.2 and up,"50,000+"
Education,4.28,739,92M,Free,Everyone,Apr 29 2020,1.26,6.0 and up,"100,000+"
Entertainment,4.5,64797,50M,Free,Teen,Nov 19 2019,2.7.4,4.4w and up,"1,000,000+"
Game Strategy,4.2,16754,92M,Free,Teen,Apr 29 2020,1.1.23,4.1 and up,"1,000,000+"
Communication,4.3,23707,Varies with device,Free,Everyone,Sep 13 2018,2.3.17,Varies with device,"500,000+"
Game Educational,3.92,108,61M,222.9942,Everyone,Apr 01 2020,1.0.366,4.1 and up,"1,000+"
Family,4.4,112080,26M,Free,Everyone,Aug 30 2019,1.24,4.1 and up,"10,000,000+"
Books And Reference,4.33,12,2.2M,Free,Everyone,Jan 20 2020,1.2,2.3 and up,"5,000+"
Productivity,4.62,258,6.6M,Free,Everyone,Nov 15 2019,2.1,4.1 and up,"50,000+"
Music And Audio,4.77,105,65M,Free,Everyone,Oct 30 2019,3,4.1 and up,"10,000+"
Game Role Playing,4.49,170,3.3M,Free,Everyone,Apr 04 2020,1.09,5.0 and up,"50,000+"
Game Word,4.49,286696,60M,Free,Everyone,Apr 07 2020,2.2.17,4.0.3 and up,"5,000,000+"
Health And Fitness,4.5,559262,Varies with device,Free,Everyone,Aug 15 2019,Varies with device,Varies with device,"10,000,000+"
Productivity,3.5,4,14M,Free,Everyone,Dec 21 2019,1.0.0,4.1 and up,"1,000+"
Books And Reference,4.86,71,25M,222.9942,Everyone,Feb 11 2019,2.4.4,4.0.3 and up,100+
Video Players,4.35,384,58M,Free,Everyone,Jan 24 2020,3.1.1,4.0 and up,"10,000+"
Lifestyle,4.82,32465,8.5M,Free,Everyone,Mar 01 2017,1.2.9,3.2 and up,"500,000+"
Education,4.73,59,17M,Free,Everyone,Mar 01 2020,1,5.0 and up,"10,000+"
Education,4.79,381,11M,Free,Everyone,Apr 09 2020,1.0.5,4.4 and up,"10,000+"
Business,4.69,1726,3.1M,Free,Everyone,Nov 02 2019,2.01,4.4 and up,"100,000+"
Lifestyle,2.8,1189,18M,Free,Everyone,Aug 01 2019,5.1.0,4.0.3 and up,"100,000+"
Tools,3.75,4,3.0M,Free,Everyone,Aug 24 2019,1,4.0.3 and up,"1,000+"
News And Magazines,4.21,300496,4.6M,Free,Everyone,May 06 2020,5.4.0,4.0 and up,"10,000,000+"
Game,3.5,4575,3.8M,Free,Everyone,Nov 11 2018,1.24,4.0.3 and up,"500,000+"
Finance,4.58,14296,Varies with device,Free,Everyone,May 02 2020,5.15.0.15609,4.3 and up,"1,000,000+"
Art And Design,4.49,340,21M,Free,Everyone,Sep 28 2019,2.1,4.0.3 and up,"50,000+"
Game Board,4.13,654,28M,260.2842,Everyone 10+,May 24 2018,1.3.0,4.4 and up,"10,000+"
Music And Audio,4.52,71183,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"10,000,000+"
Game Racing,4.58,297463,Varies with device,Free,Everyone,Apr 30 2020,1.9.7,4.1 and up,"10,000,000+"
Weather,4.44,8170,14M,Free,Everyone,May 06 2020,3.3.6,4.0.3 and up,"500,000+"
Travel And Local,3.5,6,8.5M,Free,Everyone,Oct 04 2018,2,4.0.3 and up,"1,000+"
News And Magazines,4.0,24790,Varies with device,Free,Everyone,Aug 24 2019,Varies with device,Varies with device,"1,000,000+"
Business,4.44,52,Varies with device,Free,Everyone,Apr 04 2020,12.7.1,5.0 and up,"5,000+"
Game Strategy,4.5,9944,Varies with device,Free,Everyone 10+,Apr 30 2020,1.3.4,4.1 and up,"500,000+"
Travel And Local,4.41,8794,57M,Free,Teen,Mar 20 2020,4.8.1,4.0.3 and up,"500,000+"
Productivity,4.1,6850,11M,Free,Everyone,Sep 12 2017,2.3.3-play,4.1 and up,"100,000+"
Travel And Local,3.74,1877,3.7M,Free,Everyone,Feb 25 2020,1.9.8,4.0 and up,"100,000+"
Personalization,3.0,12,4.9M,Free,Everyone,Jul 04 2019,2.0,4.0.3 and up,500+
Medical,4.2,19473,Varies with device,Free,Everyone,Aug 28 2019,Varies with device,Varies with device,"1,000,000+"
Communication,3.77,56,3.4M,Free,Everyone,May 02 2020,9.0.0,4.4 and up,"10,000+"
Entertainment,4.2,13099,Varies with device,Free,Everyone,Apr 17 2020,1.1.30,5.0 and up,"1,000,000+"
Finance,3.64,310,13M,Free,Everyone,Feb 09 2020,1.2.10,4.1 and up,"50,000+"
Finance,3.38,687,13M,Free,Everyone,May 06 2020,6.334.1228.cty9,4.2 and up,"100,000+"
Education,3.0,1,5.6M,Free,Everyone,Mar 06 2020,1,4.4 and up,500+
Personalization,4.56,530446,35M,Free,Everyone,May 06 2020,1.1.7,4.1 and up,"10,000,000+"
Game Word,4.85,1707,12M,Free,Everyone,May 07 2020,1.1.3,5.0 and up,"50,000+"
Game,4.1,2628,45M,Free,Teen,Jun 26 2018,1.1,4.2 and up,"100,000+"
Tools,3.59,1164,47M,Free,Everyone,Apr 30 2020,3.10.2.0321,4.4 and up,"100,000+"
News And Magazines,4.39,207,14M,Free,Everyone,Oct 23 2019,1.0.2,4.2 and up,"50,000+"
Art And Design,4.39,1112,7.9M,Free,Everyone,Oct 23 2019,1.3,4.0 and up,"100,000+"
Sports,4.6,5305,Varies with device,Free,Everyone,Jun 22 2019,Varies with device,Varies with device,"100,000+"
Productivity,4.35,46552,Varies with device,Free,Everyone,Dec 01 2019,Varies with device,Varies with device,"1,000,000+"
Health And Fitness,4.0,49479,57M,Free,Teen,Aug 14 2019,5.13.0,5.0 and up,"1,000,000+"
Family,2.9,975,45M,Free,Everyone,Apr 03 2018,5,4.1 and up,"100,000+"
Music And Audio,5.0,3,31M,Free,Everyone,Jan 08 2020,1,4.1 and up,"1,000+"
Game Puzzle,4.07,74907,23M,Free,Everyone,Mar 28 2020,0.2.2,4.1 and up,"5,000,000+"
Books And Reference,4.3,17506,17M,Free,Everyone,Aug 24 2019,2.3.18,4.1 and up,"1,000,000+"
Education,4.36,1292,30M,222.9942,Everyone,Jun 25 2019,2.4.4.15,4.1 and up,"10,000+"
Communication,4.42,19915,32M,Free,Everyone,Apr 10 2020,2.0.0.35,5.0 and up,"500,000+"
Productivity,4.7,2807,9.8M,Free,Everyone,Jan 19 2018,0.74 11.12.2016,4.0.3 and up,"100,000+"
Comics,3.9,2181,10M,Free,Teen,Apr 09 2019,1.2.12,4.0.3 and up,"100,000+"
Finance,4.13,48586,18M,Free,Everyone,Apr 23 2020,19.3.0,6.0 and up,"1,000,000+"
Education,4.61,4421,6.1M,Free,Everyone,Jan 17 2020,2.4,4.1 and up,"100,000+"
Education,4.41,449,5.9M,Free,Everyone,Nov 10 2019,1.25.0,4.0.3 and up,"100,000+"
Tools,4.29,2304,2.4M,Free,Everyone,Jan 02 2020,5.0.2,5.0 and up,"500,000+"
Game,3.9,923,67M,Free,Teen,Aug 21 2019,1.4,4.1 and up,"100,000+"
Game Action,4.04,5965,24M,Free,Everyone,Jan 09 2019,1.0.1,3.0 and up,"1,000,000+"
Health And Fitness,4.55,124159,16M,Free,Everyone,Mar 20 2020,5.6.22,4.0.3 and up,"5,000,000+"
News And Magazines,4.7,276640,11M,Free,Teen,Apr 14 2020,6.18.1942,5.0 and up,"5,000,000+"
Social,4.81,238,2.7M,Free,Everyone,Mar 22 2020,1.2,4.0.3 and up,"10,000+"
Finance,4.17,219,811k,Free,Everyone,Apr 27 2018,1,4.4 and up,"50,000+"
Entertainment,4.08,18651,18M,Free,Everyone,Mar 04 2020,3,4.1 and up,"10,000,000+"
Photography,4.2,4410,4.5M,Free,Everyone,Aug 01 2019,4.1,4.0.3 and up,"1,000,000+"
Shopping,4.26,324,11M,Free,Teen,Feb 20 2020,2.1.24,4.1 and up,"50,000+"
Game Educational,4.15,9204,49M,Free,Everyone,Feb 25 2020,2.5.6,4.2 and up,"1,000,000+"
Education,4.47,49,8.0M,Free,Everyone,Apr 01 2020,1.0.5,4.1 and up,"10,000+"
Family,4.2,34,4.0M,Free,Everyone,Jun 21 2019,9.0,4.0.3 and up,"1,000+"
Family,4.5,205914,54M,Free,Everyone,Sep 07 2019,5.54,4.1 and up,"10,000,000+"
Communication,3.9,517,35M,Free,Everyone,Sep 10 2019,20180805,4.4 and up,"10,000+"
Tools,4.32,10288,7.6M,Free,Everyone,Jan 21 2020,3.3.2,4.0 and up,"1,000,000+"
Medical,4.0,2,1.9M,Free,Everyone 10+,Aug 10 2019,2.0.6,8.0 and up,"1,000+"
Game Casual,4.56,17274,29M,Free,Everyone,Aug 10 2019,1.7,4.0 and up,"500,000+"
Game Strategy,4.55,988,68M,297.5742,Everyone 10+,Feb 28 2019,1.43,4.1 and up,"10,000+"
Game Word,4.57,347098,67M,Free,Everyone,Apr 30 2020,1.9.3,4.0 and up,"10,000,000+"
Personalization,4.5,1724,21M,Free,Mature 17+,Jul 31 2019,5.34.10,4.0.3 and up,"100,000+"
Entertainment,4.1,58028,17M,Free,Teen,Aug 09 2019,4.18.1,4.1 and up,"5,000,000+"
Game Strategy,4.36,76857,73M,Free,Everyone,Apr 09 2020,8.389,4.0.3 and up,"5,000,000+"
Game Strategy,4.12,57467,91M,Free,Mature 17+,Apr 25 2020,17.0.0,4.1 and up,"1,000,000+"
Productivity,4.17,174,760k,Free,Mature 17+,Jan 26 2013,1.4,2.2 and up,"10,000+"
Travel And Local,4.18,15019,Varies with device,Free,Everyone,Apr 25 2020,Varies with device,Varies with device,"1,000,000+"
Tools,4.3,3268,467k,Free,Everyone,Jan 20 2019,6.6,2.0 and up,"100,000+"
Family,4.9,15,23M,Free,Everyone,Feb 22 2017,1,2.3 and up,100+
Lifestyle,4.62,8,9.5M,Free,Everyone 10+,Apr 02 2020,2,4.0.3 and up,"1,000+"
Lifestyle,4.56,25,8.2M,Free,Everyone,Jul 12 2019,1.5.8,4.4 and up,"1,000+"
Education,4.46,95,44M,Free,Everyone,Feb 13 2020,3.4.80,4.2 and up,"5,000+"
Game Puzzle,4.26,68421,57M,Free,Everyone,Sep 08 2019,1.0.8,2.3.3 and up,"1,000,000+"
Business,3.67,3,21M,Free,Everyone,Apr 30 2020,5.7.4,4.0 and up,100+
Art And Design,4.6,4326,21M,Free,Everyone,Jul 31 2019,1.0.4,4.4 and up,"100,000+"
Game Board,4.23,15494,4.2M,Free,Everyone,Mar 29 2017,2.8.21,2.3 and up,"1,000,000+"
Game Puzzle,4.36,460808,38M,Free,Everyone,May 06 2020,6.8.0,4.2 and up,"10,000,000+"
Education,3.46,741,22M,Free,Everyone,Jan 10 2018,1.1.6,4.4 and up,"100,000+"
Shopping,4.6,318142,Varies with device,Free,Teen,Sep 07 2019,Varies with device,Varies with device,"10,000,000+"
Beauty,4.0,113715,Varies with device,Free,Everyone,Sep 07 2018,Varies with device,Varies with device,"10,000,000+"
Tools,3.3,573,8.9M,Free,Everyone,Mar 31 2020,5.6.0.8,4.1 and up,"50,000+"
Game Arcade,4.33,31957,45M,Free,Everyone,Nov 13 2019,20.5.430,5.0 and up,"10,000,000+"
Books And Reference,4.21,98,12M,Free,Teen,Apr 01 2020,1.3,4.0.3 and up,"10,000+"
Business,4.7,41625,5.4M,Free,Everyone,Jan 25 2019,2.3.4,4.1 and up,"1,000,000+"
Video Players,4.59,7408,3.8M,Free,Everyone,Mar 04 2020,1.1.32,4.4 and up,"500,000+"
Communication,4.4,69109672,Varies with device,Free,Everyone,Sep 07 2019,Varies with device,Varies with device,"1,000,000,000+"
Game Puzzle,4.83,12,21M,73.8342,Everyone,Apr 28 2020,1.0.0.5,4.4 and up,500+
Events,4.4,15558,26M,Free,Everyone,Sep 07 2019,2018.07.31229,5.0 and up,"1,000,000+"
Music And Audio,4.49,125,32M,Free,Teen,Dec 11 2019,1.388,4.1 and up,"10,000+"
Finance,4.2,3451,5.0M,Free,Everyone,Mar 31 2020,1.106.5,4.1 and up,"500,000+"
Education,4.45,1135,11M,Free,Everyone,Mar 30 2020,1.6,4.4 and up,"100,000+"
Video Players,4.58,201402,6.4M,Free,Everyone,Jan 18 2019,32,4.0 and up,"5,000,000+"
Family,4.3,1838090,Varies with device,Free,Everyone 10+,Aug 31 2019,Varies with device,4.1 and up,"100,000,000+"
Travel And Local,4.58,763002,42M,Free,Mature 17+,May 05 2020,6.0.26 21225,5.0 and up,"10,000,000+"
Parenting,3.8,279,4.9M,Free,Everyone,Mar 18 2018,1.1,4.0.3 and up,"100,000+"
Health And Fitness,4.54,492,4.0M,Free,Everyone,Dec 04 2019,2.0.0,4.4 and up,"50,000+"
Books And Reference,4.4,341234,30M,Free,Everyone 10+,Apr 24 2019,3.9.1,4.2 and up,"10,000,000+"
Education,4.21,20887,41M,Free,Everyone,Dec 12 2018,1.35.23,4.0 and up,"1,000,000+"
Game Casino,4.23,418,27M,Free,Teen,Apr 11 2020,1.3.2,4.1 and up,"50,000+"
Game Educational,4.38,21,41M,Free,Everyone,May 30 2019,1.0.9,2.2 and up,"10,000+"
Game,4.2,1343106,56M,Free,Teen,Sep 05 2019,1.180271.184729,4.0 and up,"10,000,000+"
Education,4.0,11,15M,Free,Everyone,Feb 24 2020,1.1,4.0.3 and up,"5,000+"
Weather,4.4,1312037,Varies with device,Free,Everyone,Sep 05 2019,Varies with device,Varies with device,"10,000,000+"
Tools,4.47,6011,4.6M,Free,Everyone,Jan 15 2019,1.3.2,4.2 and up,"100,000+"
Lifestyle,4.78,204,Varies with device,484.0242,Everyone,Mar 20 2020,Varies with device,Varies with device,500+
Books And Reference,3.86,14,2.0M,Free,Everyone,Dec 10 2019,6,4.1 and up,"5,000+"
Weather,3.9,11951,4.9M,Free,Everyone,Oct 06 2019,1.9.8.3-30,4.4 and up,"1,000,000+"
Education,4.45,42,22M,Free,Teen,Nov 12 2019,3.10.7z,4.0.3 and up,"5,000+"
Education,4.38,8,6.9M,Free,Everyone,Jun 26 2016,1.0.1,4.0 and up,500+
Game Puzzle,4.39,835,70M,Free,Teen,Mar 02 2020,3.9.0,4.1 and up,"100,000+"
Books And Reference,4.32,80,4.0M,Free,Everyone,Dec 24 2019,102.7,4.1 and up,"5,000+"
Game Sports,3.71,42809,8.9M,Free,Everyone,Jun 06 2017,1.0.9,3.0 and up,"1,000,000+"
